x	y
11869	2541
14404	15167
17369	68
29554	1556
30366	138
34554	1528
52473	840
62948	940
69091	918
89295	44429
89551	1555
131025	3812
135141	755
137682	284
139790	550
141474	32389
157784	104
160446	1080
182393	1766
184923	15400
187891	68
200880	138
257864	39639
258568	457
347982	385
357383	2299
358857	6848
365389	136229
439870	363
450740	939
485032	180
487101	2806
491225	2017
516376	104
585989	2465
587629	7140
594453	3046
601436	123272
627377	1634
629062	372
629640	1044
630896	63
631074	1543
632325	89
632757	682
633535	207
633696	681
634376	547
674842	424
685716	939
722092	2812
726231	1917
741813	8204
758233	104
759032	5894
760911	1079
764857	13770
778770	31291
800879	16834
817371	2467
825138	34309
826206	1317
868071	8833
873292	1058
904834	11143
911435	3514
914171	801
916865	4152
924880	19702
944204	15106
960587	5129
965110	57
966497	9369
975204	6890
995966	2086
998962	1211
1001138	13404
1008076	154
1011997	1197
1020123	35996
1055033	1084
1059734	9622
1062208	1081
1070966	3342
1081818	34544
1137017	7040
1167092	111
1167846	111
1169005	83
1169357	987
1173056	6500
1173884	24052
1203508	3184
1211326	2813
1216908	15124
1232265	2777
1242446	4277
1249777	1558
1253909	19977
1275223	5198
1280436	11594
1292376	17234
1296110	61
1308567	3111
1311585	13107
1312502	65
1317581	1109
1324756	4142
1331314	3993
1335276	14075
1339650	59
1352689	9089
1373730	1766
1378666	367
1385711	13618
1399522	2525
1401908	5406
1405460	293
1409096	1523
1418420	3350
1420245	2447
1426128	1660
1430539	4035
1434861	8022
1449689	20470
1471769	26080
1512151	22537
1535174	5280
1541673	33197
1574975	2101
1579756	291
1583510	400
1589065	286
1598012	2085
1613758	2038
1615415	15196
1632095	69716
1635227	87592
1659325	3278
1659529	33200
1671990	1422
1673275	1123
1699942	1841
1702730	21595
1702736	34953
1724512	12740
1724838	21155
1751232	29226
1785285	105833
1891471	1188
1914827	2470
1917590	1684
1921951	81887
2013213	2318
2019324	11428
2049203	868
2050470	134926
2141084	4196
2181794	2596
2184461	28260
2212523	8216
2222427	74
2228695	81425
2321253	70455
2326201	493
2350414	2407
2363061	568
2391775	13670
2403964	9834
2425980	79551
2492300	959
2493437	1043
2508533	18096
2528745	1501
2546465	996
2549920	7112
2555639	9744
2566410	3479
2581560	2974
2586491	4979
2590639	42352
2632568	4053
2635976	165746
2811850	843
2814432	567
3021483	1421
3059615	8823
3069168	369454
3132927	783
3205988	2677
3306636	3461
3454426	26688
3487246	382
3489920	121576
3560695	96
3623190	1554
3625002	5126
3630767	21995
3652520	83682
3658938	9835
3712200	2099
3735601	11736
3736943	161
3752398	19248
3772788	3195
3778558	17947
3782815	297
3785008	531
3812081	45134
3857267	28163
3889125	11169
3900372	16854
3940613	14650
3947149	1832
4175528	372
4412051	12637
4551735	411
4571548	11874
4654732	137803
4892068	95
5086459	4441
5492978	1697
5564071	73
5587368	80928
5815871	89
5862672	70
5862811	129663
5893839	86
5991466	109728
6101793	78331
6181269	28121
6204840	941
6205475	15825
6221193	14780
6236240	3205
6244192	1387
6247346	13630
6264269	130123
6393555	837
6412418	12253
6424788	36583
6429834	63
6443034	3973
6461151	5045
6466092	53970
6521347	33189
6540854	111
6547905	715
6555181	24577
6580001	9280
6590724	23884
6613685	10349
6624866	10721
6634168	67757
6724637	5376
6783892	952
6785324	984383
6834333	286
7008376	5904
7219360	165
7264193	85
7368942	1329
7382487	7268
7441096	459
7693124	1721
7698303	570
7700704	267
7771269	10164
7776383	393
7784320	60858
7810242	17101
7843083	10430
7915894	27272
7942372	355
7954291	31215
7982881	103
8004404	21905
8026738	95965
8057245	1219
8189824	2947
8206434	164
8208672	6539
8218190	2340
8292157	107
8317826	26342
8328067	113
8352397	465247
8424645	10194
8511795	125
8512653	369
8512985	81
8750430	658
8786211	703
8796571	103
8798475	1032
8805860	1192
8831007	369
8861002	18248
8862002	259
8866502	89
8875788	2220
8878835	1060
8883427	107
8893409	743
8907393	352
8909742	163
8945867	29226
8979576	299
9003300	23046
9035107	53372
9082696	184
9082803	78
9100305	28866
9151668	110
9182007	1744
9182204	9886
9197143	1764
9202579	41
9234775	36563
9292880	76653
9437669	110
9501092	2380
9539482	45698
9576427	559
9588922	25952
9651732	77383
9652610	1977
9660828	1799
9672426	15130
9729026	95501
9780822	419
9827610	649
9848276	62061
9848318	1837
9922113	21295
9942923	7052
9943428	42074
9947318	319
9967381	78
9983141	1428
9997206	18815
10032832	148408
10054445	337
10058671	978
10163268	107
10210805	170799
10227718	86
10298966	107
10306465	293
10398592	21553
10429881	797
10430102	22052
10430443	12367
10449719	2184
10456522	16005
10458555	784
10472288	158471
10616836	280
10636604	160047
10639241	15093
10895761	238
10946471	35567
10990978	820
10998176	88
10999862	84
11012344	14077
11012662	17867
11026523	20711
11029659	870
11054584	5441
11066618	33264
11068471	4627
11070091	263
11099675	2426
11106535	155973
11143898	5640
11152350	103
11189341	6641
11226254	107
11232963	150
11273206	22844
11278616	736
11425257	565
11479166	58419
11609531	3825
11648367	7419
11654375	8953
11664124	10231
11674480	17171
11691729	34129
11736084	18719
11761787	27799
11777077	2543
11785723	21198
11806096	37049
11841017	7063
11843812	173
11845549	149
11845709	2637
11847442	108
11857464	1468
11877770	2637
11908152	120
11909808	120
11919591	6838
11934205	41334
11980181	33334
12017216	93
12019466	12580
12024012	113
12029158	65
12036740	275
12063377	80831
12065002	245
12077881	104
12080293	255
12166943	96
12167003	42226
12191713	61
12220794	316
12221148	124
12230067	281981
12481829	100
12507246	152
12527724	697
12567910	49822
12569972	101
12578957	67
12618900	345
12644547	22540
12692909	112
12716115	12645
12746215	17485
12774841	3066
12791397	5232
12822686	474
12824605	6806
12838125	3233
12847377	100202
12857086	4824
12879224	6978
12892896	5375
12916610	3873
12922554	107
12926162	2092
12938472	118020
13029339	2792
13049476	106472
13049476	108617
13060853	17032
13060869	1361
13095179	2793
13104403	1287
13115496	1359
13128818	2798
13146981	480
13164586	882
13172455	7010
13196823	2767
13222695	3439
13245863	2790
13254212	9103
13273539	2089
13279125	107
13281035	4140
13303509	19090
13305955	2933
13324039	480
13342034	5101
13369067	2627
13389632	2998
13410450	10879
13474977	39072
13513220	3051
13555001	694
13583465	34493
13623184	101
13623902	101
13657311	2600
13696070	130
13700198	124882
14124233	103
14221891	1228
14348955	2069
14598704	519340
14607334	103
14692129	485
15111815	40650
15152532	67949
15164344	6974
15191828	1018
15226373	1177
15247272	153012
15326680	17197
15334166	1299
15402979	6455
15409895	20449
15438439	10804
15456728	15364
15465909	25492
15490832	35703
15526813	65567
15542165	140
15565611	346
15572353	12758
15586136	17491
15604597	447
15608078	68
15614643	225
15617500	51545
15659869	1854
15682873	256
15684332	50438
15684472	87
15720312	16585
15736405	4992
15740051	9846
15742422	5561
